IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort	RemediationPath	RemediationAssessment
89	Images & Non-Text	Widget image missing alt variant 1	Catalog item images in widgets lack alt text.	All catalog images have meaningful alt.	Scan catalog widgets; confirm pass.	Template update in core-overrides	CSS rule enforcement	a11y.scss block	Theme catalog standard	Low	Not remediated — requires JS/ServiceNow (catalog item image alt in widget templates)	Not remediated | JS/ServiceNow | Catalog item image alt in Service Catalog widget templates.
90	Images & Non-Text	Widget image missing alt variant 2	Search result thumbnails have no alt text.	Search result images are properly labeled.	Test search results; confirm.	Widget template fix	CSS fallback	a11y.scss rule	Portal search widget update	Low	Not remediated — requires JS/ServiceNow (search result thumbnail alt in search widget HTML)	Not remediated | JS/ServiceNow | Search thumbnail alt in search widget HTML. Related to issues 161-162.
91	Structure & Headings	Multiple <h1> on page	Service Portal pages often have multiple H1 tags due to widgets, violating WCAG 1.3.1.	Only one H1 per page.	Run axe; confirm single H1.	Enforce H1 rules in core-overrides	CSS selector warning	a11y.scss block	Theme page structure standard	Medium	Not remediated — requires JS/ServiceNow (single H1 enforcement in portal page/widget layout)	Not remediated | JS/ServiceNow | Single H1 requires portal layout widget discipline. core only colors h1-h3.
92	Structure & Headings	Skipping heading levels	Headings jump from H2 to H4, violating WCAG 1.3.1.	Proper sequential heading hierarchy.	Inspect heading structure; confirm logical order.	Widget heading templates fixed	CSS logical enforcement	a11y.scss rule	Theme heading hierarchy guideline	Low	Not remediated — requires JS/ServiceNow (sequential heading levels in widget HTML)	Not remediated | JS/ServiceNow | Sequential heading levels require widget HTML fixes.
93	Structure & Headings	Non-heading text marked as h-tag	Visual headings use <h3> without semantic purpose, violating WCAG 1.3.1.	Only true headings use heading tags.	Axe check on headings; confirm correct usage.	Correct HTML in widgets	CSS styling only for visual	a11y.scss enforcement	Theme heading audit	Low	Not remediated — requires JS/ServiceNow (semantic heading tags instead of styled non-headings)	Not remediated | JS/ServiceNow | Misused h-tags require widget content audit and HTML correction.
94	Structure & Headings	Landmark roles missing	Pages lack proper landmark roles like main, banner, contentinfo.	All major sections have landmarks.	Axe landmark check passes.	Add role attributes in core	CSS landmark styling	a11y.scss block	Theme landmark template	Low	Not remediated — requires JS/ServiceNow (landmark roles in portal layout widgets)	Not remediated | JS/ServiceNow | Landmark roles in portal layout widgets. Related to issues 46, 60.
95	Structure & Headings	Main content not identified	No role='main' or id for main content area.	Main content is clearly marked.	Screen reader landmark navigation works.	Add role='main' in portal layout	CSS rule	a11y.scss	Theme layout update	Low	Not remediated — requires JS/ServiceNow (role=main / main content id in portal layout)	Not remediated | JS/ServiceNow | role=main / #main-content in portal layout. Related to issue 28.
96	Structure & Headings	List markup misused for grids	CSS grids use ul/li without proper list semantics, violating WCAG 1.3.1.	Grids use proper grid roles or divs.	Check list usage; confirm correct semantics.	Update grid widgets	CSS grid role	a11y.scss	Theme grid component	Medium	Not remediated — requires JS/ServiceNow (correct list/grid semantics in widget markup)	Not remediated | JS/ServiceNow | ul/li grid semantics need widget restructure. core flex .row does not fix existing misuse.
97	Structure & Headings	Table used for layout	Tables are used for non-data layout, violating WCAG 1.3.1.	Layout uses CSS flex/grid instead of tables.	Axe check shows no layout tables.	Convert layout tables to divs	CSS flex overrides	a11y.scss	Theme layout standardization	Medium	Not remediated — requires JS/ServiceNow (replace layout tables with flex/grid in widget HTML)	Not remediated | JS/ServiceNow | Layout tables must convert to flex/grid in widget HTML.
98	Structure & Headings	Iframe title missing	Embedded iframes lack title attribute.	All iframes have descriptive titles.	Inspect iframes; confirm titles.	Add title attributes	CSS rule	a11y.scss	Theme embed standard	Low	Not remediated — requires JS/ServiceNow (iframe title attributes in embed widgets)	Not remediated | JS/ServiceNow | iframe title attributes in embed widget HTML.
99	Structure & Headings	Dynamic content updates not announced	Live updates not announced to screen readers.	Dynamic regions use aria-live.	Trigger updates; confirm announcement.	Add aria-live regions	CSS dynamic classes	a11y.scss	Theme script for live regions	Medium	Not remediated — requires JS/ServiceNow (aria-live on dynamic content regions)	Not remediated | JS/ServiceNow | aria-live for dynamic updates. [role=alert] border styling in a11y.scss is visual only. Related to 47, 61, 64.
100	Structure & Headings	Custom layout heading issue variant 1	Custom widget headings break hierarchy.	All custom headings maintain sequence.	Full page heading audit passes.	Widget heading fixes	CSS enforcement	a11y.scss block	Theme widget heading standard	Low	Not remediated — requires JS/ServiceNow (custom widget heading hierarchy in widget templates)	Not remediated | JS/ServiceNow | Custom widget heading sequence in templates. Overlaps issue 101.
101	Structure & Headings	Custom layout heading issue variant 1	Custom ServiceNow widgets and layouts frequently misuse heading levels (e.g., multiple H2s without H1 or skipping from H1 to H3), violating WCAG 1.3.1 Info and Relationships. This breaks screen reader navigation and document structure for users relying on headings for orientation.	All pages and widgets have correct, logical heading hierarchy starting with one H1 per page and no skipped levels.	Run axe-core or WAVE on multiple pages; confirm no heading structure violations. Use screen reader heading navigation to verify logical flow.	Add proper heading hierarchy comments and examples in core-overrides widget templates	CSS rule to enforce visual heading styles consistent with semantic levels	a11y.scss block with role=heading and aria-level enforcement	Theme-level layout template standardization for headings	Medium	Not remediated — requires JS/ServiceNow (correct h1–h6 hierarchy in portal/widget HTML; a11y.scss can only style headings)	Not remediated | JS/ServiceNow | Correct h1-h6 hierarchy in portal/widget HTML. a11y.scss can only style headings.
102	Structure & Headings	Custom layout heading issue variant 2	Widgets with card-like structures use divs styled as headings without proper <h*> tags, violating WCAG 1.3.1 and making content unnavigable for screen reader users.	Every visual heading uses the correct semantic <h1>-<h6> tag.	Inspect widget cards in litmus test; confirm semantic headings with screen reader.	Replace styled divs with proper h-tags in widget HTML notes in core-overrides	CSS class mapping for visual headings to semantic ones	a11y.scss rule enforcing heading roles	Portal widget audit and template update	Medium	Not remediated — requires JS/ServiceNow (replace styled divs with semantic heading tags in widgets)	Not remediated | JS/ServiceNow | Replace styled divs with semantic h-tags in widgets.
103	Structure & Headings	Custom layout heading issue variant 3	Dynamic content sections (AJAX loaded) introduce new headings out of order or duplicate H1s, violating WCAG 1.3.1.	Dynamic updates maintain overall page heading hierarchy.	Trigger dynamic load in litmus widget and re-check heading structure with axe.	JS polyfill to adjust heading levels on dynamic content	CSS rule for dynamic sections	a11y.scss with aria-live for structure changes	Theme script for heading management	High	Not remediated — requires JS/ServiceNow (JS to normalize heading levels after AJAX content load)	Not remediated | JS/ServiceNow | JS to normalize heading levels after AJAX load.
104	Structure & Headings	Custom layout heading issue variant 4	Sidebar or secondary navigation uses H2/H3 incorrectly relative to main content, breaking document outline.	Sidebar navigation uses appropriate heading levels relative to main content.	Navigate sidebar and main content with screen reader heading list; confirm logical order.	Template adjustments in core-overrides for sidebar headings	CSS logical heading styles	a11y.scss enforcement	Theme sidebar standardization	Low	Not remediated — requires JS/ServiceNow (sidebar heading level fixes in layout widget templates)	Not remediated | JS/ServiceNow | Sidebar heading level fixes in layout widget templates.
105	Structure & Headings	Custom layout heading issue variant 5	Knowledge article or catalog descriptions misuse bold text as fake headings without semantic tags.	All visual headings are semantic <h*> elements.	Check knowledge articles and catalog items with axe-core; zero fake heading violations.	CSS rule to convert common fake headings to real ones via content	Widget template updates	a11y.scss role=heading	Content guidelines in docs	Medium	Not remediated — requires JS/ServiceNow (semantic headings instead of bold text in content widgets)	Not remediated | JS/ServiceNow | Semantic headings instead of bold fake headings in content widgets.
106	Structure & Headings	Custom layout heading issue variant 6	Modal dialogs contain headings that conflict with page-level headings.	Modals have their own contained heading hierarchy starting with H2 or H3.	Open modal and check heading structure with screen reader; confirm no conflict.	Scoped heading rules in core-overrides for modals	CSS modal heading styles	a11y.scss modal-specific ARIA	Theme modal template	Low	Partially remediated — extend a11y.scss (modal heading visual styles); contained hierarchy requires widget HTML	Partially remediated | a11y.scss + JS/ServiceNow | Modal heading hierarchy in widget HTML; a11y.scss can style modal headings visually only.
107	Structure & Headings	Custom layout heading issue variant 7	Dashboard widget titles use inconsistent heading levels across different widgets.	All dashboard widgets use consistent H2 or H3 for titles.	Scan dashboard with axe; confirm uniform heading levels.	Global widget title template in core-overrides	CSS dashboard heading standardization	a11y.scss dashboard block	Theme dashboard standardization	Medium	Not remediated — requires JS/ServiceNow (consistent widget title heading levels across dashboard widgets)	Not remediated | JS/ServiceNow | Consistent widget title heading levels across dashboard widgets.
108	Structure & Headings	Custom layout heading issue variant 8	Tabbed interfaces have tab panels without proper heading inside.	Each tab panel starts with appropriate heading.	Switch tabs and verify heading navigation works.	Tab panel template updates	CSS tab heading styles	a11y.scss tab ARIA	Theme tab widget	Low	Not remediated — requires JS/ServiceNow (headings inside tab panel widget templates)	Not remediated | JS/ServiceNow | Headings inside tab panel widget templates.
109	Structure & Headings	Custom layout heading issue variant 9	List items or cards use H4/H5 incorrectly as primary content headings.	Heading levels match content importance.	Check list and card layouts with screen reader.	Template fixes in core-overrides	CSS heading level mapping	a11y.scss enforcement	Theme content templates	Medium	Not remediated — requires JS/ServiceNow (heading level corrections in list/card widget HTML)	Not remediated | JS/ServiceNow | Heading level corrections in list/card widget HTML.
110	Structure & Headings	Custom layout heading issue variant 10	Search results pages have multiple H1s or missing structure.	Search results page has single H1 and logical sub-headings.	Perform search and check structure with axe.	Search widget template in core-overrides	CSS search heading styles	a11y.scss search block	Theme search standardization	Medium	Not remediated — requires JS/ServiceNow (single H1 structure in search results page widget)	Not remediated | JS/ServiceNow | Single H1 on search results page widget structure.
111	Motion & Usability	No prefers-reduced-motion support	Animations and transitions in ServiceNow portals (carousels, modals, hover effects, loading spinners) do not respect @media (prefers-reduced-motion: reduce), violating WCAG 2.2.2 Pause, Stop, Hide. Users with vestibular disorders experience discomfort.	All animations respect reduced-motion preference and can be paused/stopped.	Emulate reduced motion in DevTools and interact with animated elements; confirm no motion.	Add @media (prefers-reduced-motion: reduce) { * { transition: none !important; animation: none !important; } } in snowboots-a11y.scss	CSS vars for motion control	JS polyfill to detect and disable animations	Theme-level global motion setting	Low	Remediated — @media (prefers-reduced-motion: reduce) disables transitions/animations in snowboots-a11y.scss	Remediated | a11y.scss | @media (prefers-reduced-motion: reduce) disables all transitions/animations in snowboots-a11y.scss.
112	Motion & Usability	Auto-playing carousels	Carousels auto-advance without pause/stop controls or reduced-motion respect, violating WCAG 2.2.2.	Carousels have pause/play controls and respect reduced motion.	Load carousel in litmus widget; confirm pause works and reduced motion stops auto-play.	Override carousel JS with pause controls in core	CSS reduced-motion rule for carousel	a11y.scss auto-play disable	Theme carousel widget update	Medium	Partially remediated — reduced-motion rule stops animations; pause/play controls require JS/ServiceNow carousel widget changes	Partially remediated | a11y.scss + JS/ServiceNow | Reduced motion stops auto-play animations; explicit pause/play controls need carousel widget JS.
113	Motion & Usability	Distracting animations on load	Page load or widget load animations are distracting and cannot be paused, violating WCAG 2.2.2.	All load animations are short (<5s) or respect reduced motion.	Reload page and observe animations with reduced motion enabled.	CSS animation control in core-overrides	Reduced-motion block in a11y.scss	JS to disable on preference	Theme animation guidelines	Low	Not remediated — addressable in a11y.scss	Not remediated | a11y.scss | Pending v0.2.0 implementation.
114	Motion & Usability	Hover-only tooltips	Tooltips appear only on hover and disappear immediately, violating WCAG 1.4.13 Content on Hover or Focus for keyboard users.	Tooltips are accessible via focus and persist until dismissed.	Focus on elements with tooltips using keyboard; confirm tooltip stays visible.	CSS :focus-visible for tooltips in core	ARIA tooltip roles	a11y.scss persistent tooltip styles	Theme tooltip component	Medium	Not remediated — requires JS/ServiceNow (tooltip ARIA roles and keyboard-triggered persistence)	Not remediated | JS/ServiceNow | Tooltip keyboard trigger and ARIA roles require Bootstrap tooltip/popover JS polyfill.
115	Motion & Usability	Timeout without warning	Session or form timeouts occur without 20-second warning, violating WCAG 2.2.1 Timing Adjustable.	Users receive clear warning before timeout and can extend time.	Simulate timeout scenario; confirm warning appears.	JS timeout warning polyfill	CSS warning banner styles	a11y.scss timeout announcement	Theme session management script	High	Not remediated — requires JS/ServiceNow (session timeout warning script and ServiceNow session config)	Not remediated | JS/ServiceNow | 20-second timeout warning requires Theme JS Include and SN session config.
116	Motion & Usability	Content reflow issues at 400% zoom	Content does not reflow properly at 400% zoom, causing horizontal scroll and loss of information, violating WCAG 1.4.10 Reflow.	Page remains usable without horizontal scrolling at 400% zoom.	Zoom browser to 400% and navigate; confirm no horizontal scroll.	CSS max-width and flex improvements in core-overrides	Viewport meta enhancements	a11y.scss reflow fixes	Theme responsive layout audit	Medium	Partially remediated — flex layout in core-overrides helps reflow; extend a11y.scss max-width rules; SN layout audit may be needed	Partially remediated | a11y.scss + core-overrides | core flex .row aids reflow; add max-width/reflow rules in a11y.scss; complex SN layouts may need widget audit.
117	Motion & Usability	Small text not resizable	Some text elements have fixed pixel sizes that do not scale with user font settings, violating WCAG 1.4.4 Resize Text.	All text resizes up to 200% without loss of content.	Change browser font size; confirm all text scales.	Use rem/em units everywhere in core-overrides	CSS font-size inheritance	a11y.scss text resize enforcement	Theme typography variables	Low	Not remediated — addressable in a11y.scss	Not remediated | a11y.scss | Pending v0.2.0 implementation.
118	Motion & Usability	Drag-and-drop no keyboard alternative	Drag-and-drop interfaces (e.g. in kanban or file uploads) have no keyboard equivalent, violating WCAG 2.1.1 Keyboard.	Drag-and-drop functionality has full keyboard alternative.	Test drag-and-drop with keyboard only; confirm equivalent actions.	JS keyboard drag-and-drop polyfill	CSS focus styles for draggable items	a11y.scss ARIA for drag	Theme widget keyboard support	High	Not remediated — requires JS/ServiceNow (keyboard alternative for drag-and-drop widgets)	Not remediated | JS/ServiceNow | Keyboard drag-and-drop polyfill required for kanban/file-upload widgets.
119	Motion & Usability	Hover content not persistent	Hover-activated content (menus, tooltips) disappears when mouse moves, violating WCAG 1.4.13.	Hover content remains visible until dismissed or focused away.	Hover over elements; confirm content stays.	CSS :hover + :focus-visible persistence	JS hover persistence helper	a11y.scss persistent hover styles	Theme component updates	Medium	Partially remediated — :focus-visible helps; hover/focus persistence requires JS/ServiceNow tooltip/popover behavior	Partially remediated | a11y.scss + JS/ServiceNow | :focus-visible helps keyboard users; hover content persistence needs tooltip JS behavior.
120	Motion & Usability	Motion-triggered nausea	Complex parallax or spinning animations in dashboards cause motion sickness for some users, with no reduced-motion option.	All motion-heavy elements respect prefers-reduced-motion.	Enable reduced motion and reload dashboard; confirm no triggering animations.	Global reduced-motion rule in a11y.scss	CSS animation disable	JS detection for motion	Theme motion audit	Low	Not remediated — addressable in a11y.scss	Not remediated | a11y.scss | Pending v0.2.0 implementation.
121	Bootstrap 3.3.6 Specific	Float grid causing focus/layout shifts	Bootstrap 3.3.6 relies on float-based grid (.row, .col-*) which can cause layout shifts and focus order problems when combined with modern CSS or dynamic content, violating WCAG 2.4.3 Focus Order and 1.3.1. Keyboard users experience unexpected jumps or hidden elements in responsive layouts.	Grid maintains stable focus order and no layout shift on resize or content change; focus follows visual order.	Resize browser and tab through grid-based sections in litmus widget; confirm stable focus and no shifts.	Add display:flex and modern grid fallbacks with logical properties in snowboots-core-overrides.scss	CSS custom properties for gutter and order control	a11y.scss rule enforcing flex order	Theme-level grid modernization override	Medium	Partially remediated — flex-based .row in core-overrides reduces float layout shifts; extend a11y.scss for order stability	Partially remediated | a11y.scss + JS/ServiceNow | core-overrides adds display:flex to .row reducing float shifts; extend a11y.scss for order stability.
122	Bootstrap 3.3.6 Specific	Glyphicon icons inaccessible	Glyphicon font icons have no text alternative or aria-label, violating WCAG 1.1.1 and 4.1.2. Screen readers announce generic 'icon' or nothing, losing meaning for action buttons and status indicators.	Every glyphicon has aria-hidden if decorative or aria-label if meaningful.	Inspect glyphicon icons in litmus widget with screen reader; confirm correct announcement or silence.	"Add aria-hidden=true"" to decorative glyphs and aria-label for meaningful ones in core-overrides"""	CSS rule targeting .glyphicon classes	a11y.scss block for icon accessibility	Theme icon font replacement guideline	Low	Not remediated — requires JS/ServiceNow (aria-hidden/aria-label on glyphicon elements)	Not remediated | JS/ServiceNow | aria-hidden/aria-label on glyphicon in widget HTML.
123	Bootstrap 3.3.6 Specific	Navbar collapse button poor labeling	The navbar toggle button (hamburger) has poor or missing accessible name in collapsed state, violating WCAG 4.1.2. Screen reader users don't know what the button does.	"Navbar collapse button has clear aria-label=Toggle navigation"" and announces state."""	Tab to navbar toggle in litmus widget; confirm clear announcement.	Add aria-label and aria-expanded to navbar toggle in core-overrides	CSS var for navbar button styles	a11y.scss rule enforcing labeling	Theme navbar component fix	Low	Not remediated — requires JS/ServiceNow (aria-label and aria-expanded on navbar toggle button)	Not remediated | JS/ServiceNow | aria-label and aria-expanded on navbar toggle in widget HTML.
124	Bootstrap 3.3.6 Specific	Modal close button announcement	Modal close (X) button has poor or duplicate announcement (e.g. announced twice), violating WCAG 4.1.2 and 2.4.3.	Modal close button has unique, clear accessible name and proper focus management.	Open modal and tab to close button with screen reader; confirm single clear announcement.	"Add aria-label=Close modal"" to close button in core-overrides"""	CSS rule for modal close styling	a11y.scss block for modal buttons	Theme modal template standardization	Low	Not remediated — requires JS/ServiceNow (aria-label on modal close; duplicate text fix in widget HTML)	Not remediated | JS/ServiceNow | aria-label on modal close; duplicate text fix in widget HTML.
125	Bootstrap 3.3.6 Specific	Dropdown caret not announced	Dropdown caret icons lack text equivalent or aria, causing screen readers to miss the expandable nature, violating WCAG 4.1.2.	Dropdown carets announce as expandable with aria-expanded.	Interact with dropdowns in litmus widget; confirm caret state announcement.	Add aria-haspopup and aria-expanded to dropdown toggles in core-overrides	CSS var for caret visibility	a11y.scss rule for dropdown ARIA	Theme dropdown component update	Low	Not remediated — requires JS/ServiceNow (aria-haspopup/aria-expanded on dropdown toggles)	Not remediated | JS/ServiceNow | aria-haspopup/aria-expanded on dropdown toggles in widget HTML.
126	Bootstrap 3.3.6 Specific	Button groups keyboard order	Button groups have incorrect keyboard tab order due to float layout, violating WCAG 2.4.3.	Button groups maintain logical left-to-right tab order.	Tab through button groups in litmus widget; confirm sequential order.	Apply flexbox ordering in core-overrides for .btn-group	CSS logical properties	a11y.scss focus order enforcement	Theme button group standardization	Low	Partially remediated — extend a11y.scss (flex ordering for .btn-group); float remnants may need core-overrides	Partially remediated | a11y.scss + JS/ServiceNow | flex ordering for .btn-group in a11y.scss; float remnants may persist in some widgets.
127	Bootstrap 3.3.6 Specific	Pagination in lists	Pagination components in lists have poor focus and ARIA, violating WCAG 2.4.7 and 4.1.2.	Pagination is fully keyboard accessible with clear states.	Tab through pagination in litmus widget; confirm accessibility.	Override pagination with full ARIA and focus styles in core-overrides	CSS vars for pagination	a11y.scss pagination block	Theme list pagination fix	Low	Partially remediated — :focus-visible covers pagination links; full ARIA states need widget markup	Partially remediated | a11y.scss + JS/ServiceNow | :focus-visible covers pagination; full ARIA states need widget markup.
128	Bootstrap 3.3.6 Specific	Data tables in widgets	Data tables in widgets lack proper headers, scope, and ARIA, violating WCAG 1.3.1.	All data tables have correct headers and ARIA.	Inspect tables in litmus widget; confirm no violations.	Add scope and caption via templates in core-overrides	CSS table enhancements	a11y.scss table ARIA enforcement	Theme table widget template	Medium	Partially remediated — extend a11y.scss (table header contrast); scope/caption require ServiceNow table widget HTML	Partially remediated | a11y.scss + JS/ServiceNow | a11y.scss can fix table header contrast; scope/caption need widget HTML.
129	Bootstrap 3.3.6 Specific	Form controls in Bootstrap classes	Form controls using Bootstrap classes have inconsistent labeling and focus, violating multiple criteria.	All form controls are fully accessible.	Test forms in litmus widget; confirm compliance.	Broad overrides for .form-control in core-overrides	CSS vars for form elements	a11y.scss form focus and label rules	Theme form standardization	Low	Partially remediated — core .form-control focus + a11y min-height; labels/ARIA need ServiceNow form widgets	Partially remediated | a11y.scss + JS/ServiceNow | core .form-control focus + a11y min-height; labels/ARIA need SN form widgets.
130	Bootstrap 3.3.6 Specific	Alert dismiss buttons	Alert dismiss buttons have poor labeling or focus, violating WCAG 2.4.7 and 4.1.2.	Alert dismiss buttons are clearly labeled and focusable.	Trigger alert and tab to dismiss; confirm accessibility.	Add aria-label to dismiss buttons in core-overrides	CSS dismiss styling	a11y.scss alert button block	Theme alert component fix	Low	Partially remediated — :focus-visible on dismiss buttons; aria-label requires widget HTML	Partially remediated | a11y.scss + JS/ServiceNow | :focus-visible on dismiss buttons; aria-label needs widget HTML.
131	Bootstrap 3.3.6 Specific	Tooltip/popover accessibility	Tooltips and popovers lack proper ARIA and keyboard support, violating WCAG 2.1.1 and 4.1.2.	Tooltips/popovers are keyboard accessible and announced properly.	Trigger tooltip with keyboard in litmus widget; confirm announcement.	Add ARIA attributes via JS polyfill in core-overrides	CSS tooltip styles	a11y.scss tooltip ARIA	Theme tooltip component	Medium	Not remediated — requires JS/ServiceNow (Bootstrap tooltip/popover keyboard and ARIA polyfill)	Not remediated | JS/ServiceNow | Tooltip/popover keyboard and ARIA require Bootstrap JS polyfill.
132	Bootstrap 3.3.6 Specific	Tab navigation in Bootstrap tabs	Bootstrap tabs have incomplete ARIA and focus management, violating WCAG 2.4.3 and 4.1.2.	Tabs are fully ARIA compliant with proper focus.	Test tab navigation in litmus widget; confirm compliance.	Override .nav-tabs with full ARIA in core-overrides	CSS tab focus styles	a11y.scss tab block	Theme tab component	Low	Not remediated — requires JS/ServiceNow (Bootstrap tab ARIA roles and keyboard focus management)	Not remediated | JS/ServiceNow | Bootstrap tab ARIA roles and focus management require widget HTML/JS.
133	Bootstrap 3.3.6 Specific	Carousel accessibility	Carousels lack proper ARIA live regions and keyboard controls, violating WCAG 2.4.7 and 4.1.3.	Carousels announce slide changes and are keyboard operable.	Test carousel in litmus widget; confirm accessibility.	Add ARIA live and controls in core-overrides	CSS carousel focus	a11y.scss carousel block	Theme carousel widget	Medium	Not remediated — requires JS/ServiceNow (carousel aria-live and keyboard controls)	Not remediated | JS/ServiceNow | Carousel aria-live and keyboard controls require widget JS.
134	Bootstrap 3.3.6 Specific	Progress bars	Progress bars lack complete ARIA value attributes, violating WCAG 4.1.2.	Progress bars have full ARIA values.	Inspect progress bars in litmus widget; confirm ARIA.	Add ARIA attributes in core-overrides	CSS progress styles	a11y.scss progress block	Theme progress component	Low	Not remediated — requires JS/ServiceNow (progressbar aria-valuenow/min/max attributes)	Not remediated | JS/ServiceNow | progressbar aria-valuenow/min/max require widget HTML or JS.
135	Bootstrap 3.3.6 Specific	Wells/panels landmark issues	Wells and panels lack landmark roles, violating WCAG 1.3.1.	Panels have appropriate landmark roles.	Inspect panels in litmus widget; confirm landmarks.	Add role attributes in core-overrides	CSS panel styles	a11y.scss panel block	Theme panel standardization	Low	Not remediated — requires JS/ServiceNow (landmark roles on .panel/.well in widget HTML)	Not remediated | JS/ServiceNow | landmark roles on .panel/.well require widget HTML.
136	Bootstrap 3.3.6 Specific	Overridden buttons in widget 1	Custom widget overrides break button accessibility in specific widgets.	Buttons in widget 1 are accessible.	Test widget 1 buttons; confirm fix.	Targeted overrides for widget 1 in core-overrides	CSS widget-specific rules	a11y.scss widget fixes	Theme widget 1 update	Low	Partially remediated — extend a11y.scss (widget-scoped button focus/contrast); widget-specific CSS selectors needed	Partially remediated | a11y.scss + JS/ServiceNow | extend a11y.scss with widget-scoped button focus/contrast selectors.
137	Bootstrap 3.3.6 Specific	Overridden navbar in widget 2	Custom navbar overrides in widget 2 cause focus issues.	Navbar in widget 2 is accessible.	Test widget 2 navbar; confirm fix.	Targeted navbar overrides in core-overrides	CSS widget navbar	a11y.scss widget navbar	Theme widget 2 fix	Low	Partially remediated — extend a11y.scss (widget navbar focus); landmarks/tab order need widget HTML/JS	Partially remediated | a11y.scss + JS/ServiceNow | extend a11y.scss for widget navbar focus; landmarks need widget HTML/JS.
138	Bootstrap 3.3.6 Specific	Overridden forms in widget 3	Form overrides in widget 3 break labeling.	Forms in widget 3 are accessible.	Test widget 3 forms; confirm fix.	Targeted form overrides in core-overrides	CSS widget forms	a11y.scss widget forms	Theme widget 3 update	Low	Not remediated — requires JS/ServiceNow (label association in widget form HTML)	Not remediated | JS/ServiceNow | label association in widget form HTML.
139	Bootstrap 3.3.6 Specific	Overridden forms in widget 4	Form overrides in widget 4 cause contrast issues.	Forms in widget 4 meet contrast.	Test widget 4 forms; confirm fix.	Targeted overrides in core-overrides	CSS widget forms	a11y.scss widget forms	Theme widget 4 fix	Low	Partially remediated — extend a11y.scss (widget form contrast overrides)	Partially remediated | a11y.scss + JS/ServiceNow | extend a11y.scss widget form contrast overrides.
140	Bootstrap 3.3.6 Specific	Overridden forms in widget 5	Form overrides in widget 5 break focus.	Forms in widget 5 have proper focus.	Test widget 5 forms; confirm fix.	Targeted overrides in core-overrides	CSS widget forms	a11y.scss widget forms	Theme widget 5 update	Low	Partially remediated — :focus-visible applies; extend a11y.scss with .widget form focus rules	Partially remediated | a11y.scss + JS/ServiceNow | :focus-visible applies; extend a11y.scss .widget form focus rules.
141	Bootstrap 3.3.6 Specific	Overridden buttons in widget 1	Custom widgets override Bootstrap button styles inconsistently, leading to missing focus, low contrast, or broken ARIA on action buttons.	All custom widget buttons have full SnowBoots overrides applied with proper focus and contrast.	Test button in custom widget with litmus or axe; confirm passes.	Add broad .widget .btn selector in core-overrides.scss	Define widget-specific CSS vars	!important block in a11y.scss	Theme widget standardization	Medium	Partially remediated — extend a11y.scss (.widget .btn focus/contrast); full coverage needs widget class selectors	Partially remediated | a11y.scss + JS/ServiceNow | extend a11y.scss .widget .btn focus/contrast; widget class selectors needed.
142	Bootstrap 3.3.6 Specific	Overridden navbar in widget 2	Custom navbars break focus order and landmark roles due to Bootstrap overrides.	Custom navbars maintain logical tab order and landmarks.	Tab through custom navbar; confirm order and announcement.	Apply navbar fixes to widget classes in core	ARIA rules in a11y.scss	JS polyfill for widget nav	Theme navbar template	Medium	Partially remediated — extend a11y.scss for widget navbar focus; landmarks require JS/ServiceNow	Partially remediated | a11y.scss + JS/ServiceNow | extend a11y.scss widget navbar focus; landmarks require JS/ServiceNow.
143	Bootstrap 3.3.6 Specific	Overridden forms in widget 3	Custom forms lose label association and placeholder handling.	Forms in widgets have proper labels and placeholders.	Test form in widget; confirm label association.	Extend form overrides to .widget forms	Label enforcement in a11y	Theme form standardization	JS form helper	Low	Not remediated — requires JS/ServiceNow (widget form label/placeholder markup)	Not remediated | JS/ServiceNow | widget form label/placeholder markup.
144	Bootstrap 3.3.6 Specific	Overridden forms in widget 4	Widget-specific form controls miss required indicators and error linking.	All required fields and errors are properly marked in widgets.	Submit invalid widget form; confirm announcements.	Add required/error rules to widget selectors	ARIA enforcement	Theme variables	Core mixin	Low	Not remediated — requires JS/ServiceNow (aria-required and error linking in widget forms)	Not remediated | JS/ServiceNow | aria-required and error linking in widget forms.
145	Bootstrap 3.3.6 Specific	Overridden forms in widget 5	Custom forms have poor touch targets and focus in Bootstrap overrides.	Form controls in widgets meet 44px touch target and focus.	Inspect widget form on mobile; confirm sizes and focus.	Min-height overrides in core for widget inputs	Focus rules extension	a11y.scss touch target boost	Theme form CSS	Low	Partially remediated — extend a11y.scss (.widget .form-control min-height and :focus-visible)	Partially remediated | a11y.scss + JS/ServiceNow | extend a11y.scss .widget .form-control min-height and :focus-visible.
146	Bootstrap 3.3.6 Specific	Overridden forms in widget 6	Widget forms ignore SnowBoots placeholder and contrast fixes.	Placeholders and contrast apply to widget forms.	Test widget input placeholder contrast.	Broad selector for .widget .form-control	Placeholder var reuse	!important in a11y	Theme sync	Low	Not remediated — addressable in a11y.scss	Not remediated | a11y.scss | Pending v0.2.0 implementation.
